,ETER ID,English Institution Name,Reference year,Total academic personnel (FTE),Total academic personnel (HC),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,scopus_authors,number_articles,total_eter,state
59,IT0081,University of Teramo,2019,0,397,5746,1063,152,39,675.0,2194.0,7000,Teramo
60,IT0082,Politecnico di Torino,2019,0,1108,33264,7742,781,207,7757.0,23324.0,41994,Torino
61,IT0083,University of Turin,2019,0,2733,79077,15516,969,230,25683.0,80836.0,95792,Torino
62,IT0085,University of Trento,2019,0,839,16862,3789,721,231,6179.0,16773.0,21603,Trento
63,IT0086,International School for Advanced Studies (SISSA),2019,0,102,0,0,292,71,3003.0,7744.0,363,Trieste
64,IT0087,University of Trieste,2019,0,941,16345,3292,346,91,11300.0,33817.0,20074,Trieste
65,IT0088,University of Udine,2019,0,1077,15668,3383,247,78,5152.0,15079.0,19376,Udine
66,IT0089,University of Urbino Carlo Bo,2019,0,618,14732,3033,119,36,1662.0,5984.0,17920,Pesaro E Urbino
67,IT0091,Ca’ Foscari University of Venice,2019,0,820,21678,5875,323,98,2011.0,5534.0,27974,Venezia
68,IT0092,University IUAV of Venice,2019,0,323,4039,1364,128,33,372.0,804.0,5564,Venezia
69,IT0093,"University of Piemonte Orientale ""Amedeo Avogadro""",2019,0,550,13927,2557,133,20,2622.0,7269.0,16637,Vercelli
70,IT0094,University of Verona,2019,0,1392,25043,5922,394,105,9878.0,27390.0,31464,Verona
71,IT0095,University of Tuscia,2019,0,494,7930,1627,174,45,1962.0,6330.0,9776,Viterbo
72,IT0244,Link Campus University,2019,0,140,1050,807,6,0,32.0,55.0,1863,Roma
73,IT0248,Humanitas University,2019,0,115,1520,120,44,8,308.0,478.0,1692,Pieve Emanuele
74,IT0249,Gran Sasso Science Institute,2019,0,41,0,0,99,4,270.0,475.0,103,L'Aquila
75,VA0001,Pontifical University Antonianum,2019,0,0,0,0,0,0,9.0,17.0,0,Roma
76,VA0002,Pontifical University of the Holy Cross,2019,0,0,0,0,0,0,67.0,86.0,0,Roma
77,VA0003,Pontifical Gregorian University,2019,0,0,0,0,0,0,138.0,192.0,0,Roma
78,VA0009,Pontifical Biblical Institute,2019,0,0,0,0,0,0,26.0,43.0,0,Roma
79,VA0011,Salesian Pontifical University,2019,0,0,0,0,0,0,37.0,47.0,0,Roma
80,CY0001,University of Cyprus,2018,398,441,6052,1377,651,82,83.0,94.0,8560,Enna
81,IT0001,Marche Polytechnic University,2018,0,772,15765,3270,335,114,5611.0,16934.0,19484,Ancona
82,IT0002,Università della Valle d’Aosta,2018,0,119,1024,225,0,0,66.0,112.0,1249,Aosta
83,IT0003,University of Calabria,2018,0,980,25561,4534,283,74,4070.0,15020.0,30452,Cosenza
84,IT0004,Polytechnic of Bari,2018,0,417,9843,1919,154,21,1687.0,5462.0,11937,Bari
85,IT0005,University of Bari Aldo Moro,2018,0,1687,44569,8134,478,96,13763.0,43421.0,53277,Bari
