,ranking,World Rank,University,Impact Rank*,Openness Rank*,Excellence Rank*,scopus_link,affiliationID,other_names,articles_category,street,state,number_authors,number_aff_only,number_aff_whole,authors_link,aff_only_link,aff_whole_link,EterID
76,89,6020,Fondazione Edmund Mach di San Michele all'Adige (Istituto Agrario),5745,1475,7216,https://www.scopus.com/affil/profile.uri?afid=60073834,60073834.0,"['Fondazione Edmund Mach', 'Fondazione Edmund Mach (fem)', 'Edmund Mach Foundation', 'Iasma Research And Innovation Centre', 'Iasma Research Center', 'Research And Innovation Centre', 'Fondazione E. Mach', ""Istituto Agrario Di San Michele All'adige"", 'Iasma', 'Iasma Research Centre']","{'Agricultural and Biological Sciences': 2453, 'Physics and Astronomy': 74, 'Biochemistry, Genetics and Molecular Biology': 1114, 'Pharmacology, Toxicology and Pharmaceutics': 69, 'Environmental Science': 636, 'Mathematics': 68, 'Chemistry': 429, 'Energy': 46, 'Medicine': 393, 'Neuroscience': 40, 'Immunology and Microbiology': 366, 'Decision Sciences': 34, 'Earth and Planetary Sciences': 289, 'Veterinary': 31, 'Multidisciplinary': 193, 'Materials Science': 23, 'Computer Science': 151, 'Health Professions': 20, 'Engineering': 119, 'Business, Management and Accounting': 12, 'Social Sciences': 96, 'Arts and Humanities': 9, 'Chemical Engineering': 92, 'Economics, Econometrics and Finance': 8}","Via E. Mach, 1, San Michele all'Adige",Trento,671.0,3926.0,"3,926",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60073834&st1=Fondazione%Edmund%Mach&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60073834&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60073834&st1=Fondazione Edmund Mach&origin=AffiliationProfile,
77,91,6151,Università per Stranieri di Siena,4714,7521,6372,https://www.scopus.com/affil/profile.uri?afid=60016269,60016269.0,"['Università Per Stranieri Di Siena', 'Universita Per Stranieri Di Siena', 'Università Per Stranieri', 'Universitá Per Stranieri Di Siena', 'Universita Per Stranieri', 'Universit Per Stranieri']","{'Arts and Humanities': 82, 'Earth and Planetary Sciences': 1, 'Social Sciences': 70, 'Economics, Econometrics and Finance': 1}","Via Pantaneto 45, Siena",Siena,48.0,90.0,90,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60016269&st1=Università%per%Stranieri%di%Siena&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60016269&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60016269&st1=Università per Stranieri di Siena&origin=AffiliationProfile,IT0080
78,92,6721,eCampus Università telematica,6456,4122,7216,https://www.scopus.com/affil/profile.uri?afid=60134846,60134846.0,"['Ecampus University', 'University Ecampus', 'Università Ecampus', 'University E-campus', 'Università E-campus', 'E-campus University', 'Università Telematica Ecampus', '“ecampus” University']","{'Medicine': 297, 'Environmental Science': 36, 'Engineering': 210, 'Decision Sciences': 34, 'Computer Science': 163, 'Arts and Humanities': 25, 'Psychology': 109, 'Multidisciplinary': 23, 'Mathematics': 98, 'Agricultural and Biological Sciences': 22, 'Social Sciences': 89, 'Economics, Econometrics and Finance': 21, 'Health Professions': 80, 'Earth and Planetary Sciences': 18, 'Biochemistry, Genetics and Molecular Biology': 77, 'Nursing': 18, 'Neuroscience': 69, 'Immunology and Microbiology': 9, 'Materials Science': 57, 'Pharmacology, Toxicology and Pharmaceutics': 8, 'Business, Management and Accounting': 51, 'Chemical Engineering': 7, 'Energy': 41, 'Chemistry': 7}","Via Isimbardi, 10, Novedrate",Novedrate,81.0,857.0,857,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60134846&st1=eCampus%University&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60134846&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60134846&st1=eCampus University&origin=AffiliationProfile,
79,93,6847,Università degli Studi Suor Orsola Benincasa Napoli,5799,5221,7216,https://www.scopus.com/affil/profile.uri?afid=60001400,60001400.0,"['Università Degli Studi Suor Orsola Benincasa', 'Suor Orsola Benincasa University Of Naples', 'Università Degli Studi Suor Orsola Benincasa Di Napoli', 'Suor Orsola Benincasa University', 'Universita Degli Studi Suor Orsola Benincasa', 'Università Suor Orsola Benincasa', 'Università Degli Studi Suor Orsola Benincasa - Napoli', ""Università Degli Studi 'suor Orsola Benincasa'"", 'Università Degli Studi “suor Orsola Benincasa”', 'Università Degli Studi Suor Orsola Benincasa Napoli']","{'Social Sciences': 82, 'Physics and Astronomy': 5, 'Arts and Humanities': 75, 'Earth and Planetary Sciences': 3, 'Psychology': 29, 'Economics, Econometrics and Finance': 3, 'Agricultural and Biological Sciences': 17, 'Immunology and Microbiology': 3, 'Computer Science': 17, 'Mathematics': 3, 'Medicine': 17, 'Multidisciplinary': 3, 'Biochemistry, Genetics and Molecular Biology': 13, 'Chemistry': 2, 'Neuroscience': 10, 'Energy': 2, 'Engineering': 8, 'Health Professions': 2, 'Business, Management and Accounting': 7, 'Pharmacology, Toxicology and Pharmaceutics': 2, 'Environmental Science': 7, 'Chemical Engineering': 1}","Via Suor Orsola 10, Naples",Napoli,72.0,164.0,164,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60001400&st1=Università%degli%Studi%Suor%Orsola%Benincasa&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60001400&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60001400&st1=Università degli Studi Suor Orsola Benincasa&origin=AffiliationProfile,IT0043
80,94,6971,Università Pontificia Salesiana,7946,7521,6372,https://www.scopus.com/affil/profile.uri?afid=60012280,60012280.0,"['Salesian Pontifical University', 'Università Pontificia Salesiana', 'Pontifical Salesian University', 'Rector Of The Salesian Pontifical University', 'Pontificia Università Salesiana', 'Università Pontificia Salesiana Di Roma', 'Universita Pontificia Salesiana', 'Univ. Pontificia Salesiana', 'Universitá Pontificia Salesiana', 'Università Salesiana Pontificia']","{'Arts and Humanities': 65, 'Nursing': 2, 'Psychology': 41, 'Business, Management and Accounting': 1, 'Social Sciences': 35, 'Computer Science': 1, 'Medicine': 28, 'Decision Sciences': 1}","Piazza dell‘Ateneo Salesiano, 1, Rome",Roma,51.0,117.0,117,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60012280&st1=Salesian%Pontifical%University&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60012280&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60012280&st1=Salesian Pontifical University&origin=AffiliationProfile,VA0011
81,99,8349,Università Pontificia Antonianum,14047,7521,6079,https://www.scopus.com/affil/profile.uri?afid=60005216,60005216.0,"['Pontifical University Antonianum', 'Pontificia Università Antonianum', 'The Pontifical University Antonianum', 'Pontificia Universita Antonianum', 'The Pontifical University, Antonianum', 'Pontificia Université Antonianum', 'Pontificia Universitá Antonianum', 'Pontificia Università Antonianum - Itm', 'Pontifical University Antonianum Rome', 'Pontifical University Antonianum In Rome']","{'Arts and Humanities': 56, 'Medicine': 2, 'Social Sciences': 17, 'Biochemistry, Genetics and Molecular Biology': 1, 'Psychology': 10, 'Business, Management and Accounting': 1, 'Neuroscience': 9, 'Chemical Engineering': 1, 'Computer Science': 4, 'Chemistry': 1, 'Agricultural and Biological Sciences': 3, 'Economics, Econometrics and Finance': 1, 'Energy': 2, 'Multidisciplinary': 1, 'Environmental Science': 2, 'Physics and Astronomy': 1}","via merulana, 124, Rome",Roma,12.0,68.0,68,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60005216&st1=Pontificia%Universita&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60005216&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60005216&st1=Pontificia Universita&origin=AffiliationProfile,VA0001
82,103,9174,Pontificio Istituto Biblico,11606,7521,6565,https://www.scopus.com/affil/profile.uri?afid=60103305,60103305.0,"['Pontifical Biblical Institute', 'Pontificio Istituto Biblico', 'Institut Biblique Pontifical', 'Sj Pontifical Biblical Institute', 'Pontifical Biblical Institute In Rome', 'Pontificio Istituto Biblico Via Della Pilotta', 'Pontificio Istituto Biblico Piazza Della Pilotta', 'Pontificio Istituto Biblico De Roma', 'Pontifical Biblical Institute Rome', 'Pontifical Biblical Institute Of Rome']","{'Arts and Humanities': 116, 'Biochemistry, Genetics and Molecular Biology': 1}","Via della Pilotta 25, Rome",Roma,43.0,117.0,117,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60103305&st1=Pontificio%Istituto%Biblico&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60103305&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60103305&st1=Pontificio Istituto Biblico&origin=AffiliationProfile,VA0009
83,104,9545,Domus Academy,6265,7521,7216,https://www.scopus.com/affil/profile.uri?afid=60268246,60268246.0,"['Domus Academy', 'Domus Academy De Milan']","{'Computer Science': 10, 'Engineering': 2, 'Social Sciences': 4, 'Environmental Science': 2, 'Mathematics': 3, 'Materials Science': 2, 'Business, Management and Accounting': 2, 'Arts and Humanities': 1}","Via Carlo Darwin 20, Milan",Milano,7.0,14.0,14,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60268246&st1=Domus%Academy&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60268246&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60268246&st1=Domus Academy&origin=AffiliationProfile,
84,109,10421,Università Telematica Pegaso,8667,7291,7216,https://www.scopus.com/affil/profile.uri?afid=60134847,60134847.0,"['Università Telematica Pegaso', 'Pegaso University', 'Telematic University Pegaso', 'Pegaso Telematic University', 'Pegaso Online University', 'Università Telematica Ecampus', 'Pegaso Telematics University', 'Universitá Telematica Pegaso', 'Universita Telematica Pegaso', 'Università Pegaso']","{'Engineering': 162, 'Business, Management and Accounting': 32, 'Physics and Astronomy': 100, 'Chemistry': 25, 'Earth and Planetary Sciences': 89, 'Nursing': 22, 'Medicine': 89, 'Health Professions': 16, 'Materials Science': 69, 'Arts and Humanities': 15, 'Environmental Science': 65, 'Economics, Econometrics and Finance': 15, 'Mathematics': 55, 'Immunology and Microbiology': 12, 'Biochemistry, Genetics and Molecular Biology': 48, 'Multidisciplinary': 12, 'Computer Science': 47, 'Decision Sciences': 11, 'Social Sciences': 46, 'Psychology': 6, 'Agricultural and Biological Sciences': 38, 'Pharmacology, Toxicology and Pharmaceutics': 5, 'Energy': 38, 'Neuroscience': 1}","Centro Direzionale Isola F2, Naples",Napoli,64.0,541.0,541,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60134847&st1=Università%Telematica%Pegaso&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60134847&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60134847&st1=Università Telematica Pegaso&origin=AffiliationProfile,IT0048
85,128,13707,Rome Business School,11735,7521,7216,https://www.scopus.com/affil/profile.uri?afid=60016374,60016374.0,"['Luiss University', 'Luiss Guido Carli University', 'Luiss Guido Carli', 'Luiss', 'Luiss Business School', 'Università Luiss Guido Carli', 'Libera Università Internazionale Degli Studi Sociali Guido Carli', 'University Luiss Guido Carli', 'Luiss University Of Rome', 'Università Luiss - Guido Carli']","{'Social Sciences': 1339, 'Agricultural and Biological Sciences': 31, 'Economics, Econometrics and Finance': 977, 'Neuroscience': 22, 'Business, Management and Accounting': 928, 'Physics and Astronomy': 20, 'Computer Science': 373, 'Earth and Planetary Sciences': 19, 'Arts and Humanities': 311, 'Multidisciplinary': 19, 'Decision Sciences': 264, 'Health Professions': 12, 'Mathematics': 255, 'Immunology and Microbiology': 12, 'Environmental Science': 147, 'Nursing': 11, 'Engineering': 140, 'Chemistry': 8, 'Psychology': 110, 'Chemical Engineering': 6, 'Medicine': 74, 'Materials Science': 6, 'Energy': 57, 'Pharmacology, Toxicology and Pharmaceutics': 3}","Viale Pola 12, Rome",Roma,530.0,3071.0,"3,071",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60016374&st1=Luiss%University&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60016374&origin=AffiliationProfile,https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60016374&st1=Luiss University&origin=AffiliationProfile,IT0065
